"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 00:36:10 BRT 2022","Thu Nov 24 00:36:17 BRT 2022","7238","","Login","","","","Validar mensagem de error ao tentar criar conta confirmando senha diferente da senha inserida",""
"passed","Thu Nov 24 00:37:57 BRT 2022","Thu Nov 24 00:38:15 BRT 2022","17219","","NavBar","","","","Validar redirecionamento para pagina de login ao finalizar pedido sem estar logado",""
"passed","Thu Nov 24 00:36:46 BRT 2022","Thu Nov 24 00:36:51 BRT 2022","4939","","NavBar","","","","Validar Erro ao cadastrar apenas o campo direito do cep",""
"passed","Thu Nov 24 00:36:59 BRT 2022","Thu Nov 24 00:37:04 BRT 2022","5271","","NavBar","","","","Validar Mensagem erro quando busco produto invalido",""
"passed","Thu Nov 24 00:36:41 BRT 2022","Thu Nov 24 00:36:46 BRT 2022","4744","","NavBar","","","","Validar Erro ao cadastrar apenas o campo esquedo do cep",""
"failed","Thu Nov 24 00:35:58 BRT 2022","Thu Nov 24 00:36:03 BRT 2022","5104","","Login","","","","Validar mensagem de erro ao tentar criar conta com email ja cadastrado",""
"failed","Thu Nov 24 00:37:04 BRT 2022","Thu Nov 24 00:37:21 BRT 2022","16587","","NavBar","","","","Validar Busca usando filtros",""
"failed","Thu Nov 24 00:36:29 BRT 2022","Thu Nov 24 00:36:35 BRT 2022","5920","","NavBar","","","","Validar Erro ao cadastrar cep invalido",""
"passed","Thu Nov 24 00:36:51 BRT 2022","Thu Nov 24 00:36:59 BRT 2022","7817","","NavBar","","","","Validar Buscar item Existente",""
"passed","Thu Nov 24 00:37:38 BRT 2022","Thu Nov 24 00:37:57 BRT 2022","19319","","NavBar","","","","Validar aumentar a quantidade desejada do produto adicionado ao carrinho",""
"passed","Thu Nov 24 00:37:21 BRT 2022","Thu Nov 24 00:37:38 BRT 2022","16942","","NavBar","","","","Validar adicionar produtos ao carrinho",""
"passed","Thu Nov 24 00:36:35 BRT 2022","Thu Nov 24 00:36:41 BRT 2022","6173","","NavBar","","","","Validar erro ao confimar cep com campos vazios",""
"passed","Thu Nov 24 00:35:43 BRT 2022","Thu Nov 24 00:35:49 BRT 2022","6601","","Login","","","","Validar Mensagem Error ao Fazer login com Email Invalido",""
"failed","Thu Nov 24 00:35:49 BRT 2022","Thu Nov 24 00:35:58 BRT 2022","8863","","Login","","","","Validar Fazer login com senha incorreta",""
"passed","Thu Nov 24 00:35:30 BRT 2022","Thu Nov 24 00:35:43 BRT 2022","12328","","Login","","","","Validar Fazer login com dados valido",""
"passed","Thu Nov 24 00:36:21 BRT 2022","Thu Nov 24 00:36:29 BRT 2022","8114","","NavBar","","","","Validar cadastrar cep valido",""
"passed","Thu Nov 24 00:36:03 BRT 2022","Thu Nov 24 00:36:10 BRT 2022","6741","","Login","","","","Validar mensagem de erro ao tentar criar conta com senha menor que 6 caracteres",""
